Attempt to deliver failed,Bandymas pristatyti nepavyko
The shipment has been delivered to the consignee,Siunta buvo pristatyta gavėjui
The consignment has been presented to the customs authorities of the country of departure,Siunta buvo pateikta išvykimo šalies muitinei
The consignment was detained at the office of departure,Siunta buvo sulaikyta išvykimo įstaigoje
The consignment has been checked at the customs office of dispatch,Siunta buvo patikrinta išsiuntimo muitinės įstaigoje
Thei tem is detained at the dispatch center of the country of dispatch,Siunta sulaikyta išsiuntimo šalies išsiuntimo centre
Exported,Eksportuota
The shipment has been canceled from the sender's country,Siunta atšaukta iš siuntėjo šalies
The shipment was delivered to the parcel self-service terminal,Siunta pristatyta į savitarnos terminalą
Served (BKIS),Pateikta (BKIS)
Served at the post office,Pateikta pašto skyriuje
Transferred to the State,Perduota valstybei
Included,įtraukta
Receipt message,Kvito pranešimas
Delivery tag canceled,Siuntos žyma atšaukta
Delivery tag created,Sukurta siuntos žyma
The parcel was received at the Lithuanian Post Office,Siuntinys gautas Lietuvos pašto skyriuje
Not included,Neįtraukta
Unknown,Nežinoma
Detained,Sulaikyta
Secure on demand,Apsauga pagal poreikį
The shipment is placed in the parcel self-service terminal for shipment,Siunta padėta į savitarnos terminalą siuntimui
The shipment is gone,Siunta dingo
The parcel is taken by courier from the parcel self-service terminal,Siunta paimta kurjerio iš savitarnos terminalo
The shipment has been withdrawn by the receiver,Siunta atsiimta gavėjo
Received,Gauta
Forwarded,Persiųsta
Forwarded in post office,Persiųsta pašto skyriuje
Forwarded-Served,Persiuntimas-pateiktas
Forwarding started,Pradėtas persiuntimas
Refunded,Grąžinti pinigai
Returned to post office,Grįžo į pašto skyrių
Return started,Pradėtas grąžinimas
Sent,Išsiųsta
Transferred to storage,Perkelta į saugyklą
Passed on for deliver,Perduota siuntimui
Not delivered,Nepristatyta
"Unable to find track with ID ""%1""","Unable to find track with ID ""%1"""
Edit Shipment,Redaguoti siuntą
Call Courier,Kviesti kurjerį
Print All Documents,Spausdinti visus dokumentus
Print Manifest,Spausdinti manifestą
Print CN23 Declaration,Spausdinti CN23 deklaraciją
Documents,Dokumentai
Please select LP Express terminal.,Prašome pasirinkti LP EXPRESS terminalą.
Courier Called,Kurjeris iškviestas
Courier Not Called,Kurjeris neiškviestas
Shipment Created,Siunta suformuota
Shipment Not Created,Siunta nesuformuota
Parcel Information,Siuntinio informacija
Sender Information,Siuntėjo informacija
CN22 Declaration,CN22 deklaracija
CN23 Declaration,CN23 deklaracija
Ship From:,Siųsti iš:
LP EXPRESS Courier,LP EXPRESS kurjeris
LP EXPRESS Terminal,LP EXPRESS terminalas
The Item Being Sent,Prekė siunčiama
to,iki
To,Iki
Ship To:,Siųsti į:
Name,Vardas
Phone,Telefono numeris
Email,El. Paštas
City,Miestas
Street,Gatvė
Building Number,Namo numeris
Apartment,Buto numeris
Post Code,Pašto kodas
Parcel Type,Siuntinio tipas
Parcel Type Notes,Siuntinio tipo užrašai
Parcel Description,Siuntinio aprašymas
Parcel Items,Siuntiniai
Summary,Aprašymas
Amount,Kaina
Country of Origin,Kilmės šalis
Currency,Valiuta
HS Item Number,HS prekės numeris
Weight,Svoris
Quantity,Kiekis
Exporter Customs Code,Eksportuotojo muitinės kodas
License,Licencija
Certificate,Sertifikatas
Invoice,Sąskaita faktūra
Notes,Užrašai
Failure Instruction,Nesekmės instrukcija
Importer Code,Importuotojo kodas
Importer Customs Code,Importuotojo muitinės kodas
Importer Email,Importuotojo el. Paštas
Importer Fax,Importuotojo faksas
Importer Phone,Importuotojo telefonas
Importer Tax Code,Importuotojo mokesčių kodas
Importer Vat Code,Importuotojo PVM kodas
Description,Aprašymas
Terminal:,Terminalas:
Please select LP Express terminal..,Prašome pasrinkti LP EXPRESS terminalą..
Shipment Details,Siuntos nustatymai
Close,Uždaryti
Save,Išsaugoti
Field format must be 370XXXXXXX,Lauko formatas privalo būti 370XXXXXXX
Please select LP EXPRESS terminal locality..,Prašome pasirinkti LP EXPRESS terminalo vietovę..
Please select LP EXPRESS terminal..,Prašome pasirinkti LP EXPRESS terminalą..
This is a required field.,Šis laukas privalomas.
Status,Statusas
Enabled,Įjungtas
Available Services,Galimos paslaugos
Sort Order,Rikiuoti
Authorization Settings,Autorizacijos nustatymai
Test Mode,Testavimo rėžimas
Username,Vartotojo vardas
Password,Slaptažodis
Apartment Number,Buto numeris
Lithuanian Post Delivery Settings,Lietuvos pašto pristatymo nustatymai
Delivery Methods Lithuanian Post,Lietuvos pašto pristatymo būdai
Post Office Delivery Price,Pristatymo į pašto skyrių kaina
Post Office Shipping Size,Pristatymo į pašto skyrių siuntos dydis
Post Office Delivery Time,Pristatymo į pašto skyrių pristatymo laikas
Overseas Delivery Price,Pristatymo į užsienį kaina
Overseas Shipping Size,Pristatymo į užsienį siuntos dydis
Overseas Delivery Time,Pristatymo į užsienį pristatymo laikas
Export Price vs Weight,Eksportuoti kainą pagal svorį
Import Price vs Weight,Importuoti kainą pagal svorį
Export Price vs Country,Eksportuoti kainą pagal šalį
Import Price vs Country,Importuoti kainą pagal šalį
Ship to Specific Countries,Siųsti į pasirinktas šalis
Ship to Applicable Countries,Galimos šalys
LP EXPRESS Delivery Settings,LP EXPRESS pristatymo nustatymai
Delivery Methods LP EXPRESS,LP EXPRESS pristatymo būdai
Courier Delivery Price,Kurjerio pristatymo kaina
Courier Shipping Method,Kurjerio siuntimo būdas
Courier Shipping Size,Kurjerio siuntos dydis
Courier Delivery Time,Kurjerio pristatymo laikas
Call Courier Automatically,Kviesti kurjerį automatiškai
Terminal Delivery Price,Terminalo pristatymo kaina
Terminal Shipping Method,Terminalo siuntimo būdas
Terminal Shipping Size,Terminalo dėžutės dydis
Terminal Delivery Time,Terminalo pristatymo laikas
Post Office Shipping Method,Pašto siuntimo būdas
Overseas Shipping Method,Pristatymo į užsienį siuntimo būdas
Other Settings,Kiti nustatymai
Consignment Formation,Siuntos formavimas
Label Format,Lipduko formatas
Help,Pagalba
LP Actions,LP veiksmai
Create Shipping Labels,Generuoti lipdukus
Cancel Shipping Labels,Atšaukti lipdukus
Print Manifests,Spausdinti manifestus
All,Visos
Country,Šalis
Maximum length: 100 characters,Maksimalus ilgis: 100 simbolių
Format: 370XXXXXXXX,Formatas: 370XXXXXXXX
Maximum length: 128 characters,Maksimalus ilgis: 128 simboliai
Maximum length: 20 characters,Maksimalus ilgis: 20 simbolių
Maximum length: 50 characters,Maksimalus ilgis: 50 simbolių
Press "CTRL" button on your keyboard to select multiple,Spauskite "CTRL" klavišą jei norite pasirinkti kelis
Leave empty if you want to use Price vs Weight table.,Palikite tuščią jei norite naudoti kainos pagal svorį lentelę
Example: 4 d.d.,Pavyzdžiui 4 d.d.
Leave empty if you want to use Price vs Country table.,Palikite tuščią jei norite naudoti kainos pagal šalį lentelę
Username from manosiuntos.post.lt,manosiuntos.post.lt vartotojo vardas
Password from manosiuntos.post.lt,manosiuntos.post.lt slaptažodis
Delivery time:,Pristatymo laikas:
Courier Called,Kurjeris iškviestas
Courier Not Called,Kurjeris neiškviestas
Shipment Created,Siunta suformuota
Shipment Not Created,Siunta nesuformuota
Yes,Taip,
No,Ne
